Contact_FirstName,Contact_LastName,Contact_EntityName,Contact_EntityPhone,Contact_EntityAddress,Customer_FirstName,Customer_LastName,Customer_Gender,Customer_DateOfBirth,Customer_Address,Customer_PostalCode,Customer_CountryOfCitizenship,Customer_IDType,Customer_IDNumber,Customer_IssuingCountry,Customer_IssueDate,Customer_ExpiryDate,Trans_Withdrawl_Deposit,Trans_Type,Contact_ReferralDate,Trans_TransactionDate,Trans_Time,Trans_OriginatingCountry,Trans_DestinationCountry,Trans_Amount,Trans_IdentificationOfSuspiciousIndicator,Trans_Notes,SMR_ReviewOutcome,Att_XLS,Att_TIF,Att_PDF,Att_WMV,Att_JPG,Att_MPG,Att_MP4,Att_FLV,Att_GIF
Cristen,Gail,Westpac Bank,(276) 8083963,8 Artisan Junction,Adoree,Brumham,Female,1/04/1987,71714 Londonderry Road,07750-000,Indonesia,Other ID,64-767-6543,Thailand,5/01/2014,12/08/2013,Deposit,International Out,12/07/2016,3/19/2016,7:42 PM,Indonesia,Australia,918739,Consumer makes inquiries that would indicate a desire to avoid reporting. ,Increase over time in the value of transactions with a digital currency exchange ,NFA,0,2,0,0,0,2,0,0,0
Rodina,Wattisham,Commonwealth Bank,(812) 3374857,88 Moulton Terrace,Kirbee,Grundwater,Female,8/06/1987,9714 Meadow Valley Point,666021,Thailand,Passport,55-078-4969,Philippines,12/10/2013,6/25/2015,Withdrawl,Domestic Out,5/31/2016,12/01/2017,9:33 PM,Cambodia,Thailand,983010,Consumer has unusual knowledge of the law in relation to suspicious transaction reporting. ,  Multiple low-value international funds transfers,NFA,0,4,0,,0,0,0,0,5
Morly,L' Estrange,National Australia Bank,(200) 6467092,5 Duke Park,Ransell,Digwood,Male,5/30/1984,547 Moland Circle,,Vietnam,Other ID,08-008-2557,Cambodia,8/01/2015,3/29/2019,Withdrawl,Domestic Out,4/14/2017,11/29/2017,4:00 PM,Indonesia,Thailand,170938,Inconsistencies appear in the consumer’s presentation of the transaction. ,  Cash has a distinct or unusual odour ,NFA,0,0,0,0,0,0,0,0,3
Erinn,Monroe,National Australia Bank,(319) 5842907,93 Mandrake Avenue,Annabelle,Bradock,Female,9/22/1970,53 Esker Plaza,,Singapore,Other ID,51-836-7088,Malaysia,2/17/2015,5/21/2016,Deposit,International In,10/06/2017,6/24/2017,8:22 PM,Thailand,Vietnam,696990,Transaction seems to be inconsistent with the consumer’s apparent financial standing or usual pattern of activities. ,  Customer unwilling to produce identification when requested by reporting entity staff ,NFA,0,0,0,0,0,0,0,0,4
Granger,Bonsale,National Australia Bank,(138) 1706866,81 Arapahoe Point,Nollie,Frail,Male,8/09/1965,5 Division Trail,92130,Malaysia,Drivers License,95-726-3896,Singapore,3/07/2015,2/19/2018,Withdrawl,Domestic In,6/18/2016,11/14/2017,1:00 PM,Indonesia,Thailand,743337,Transaction is unnecessarily complex for its stated purpose. ,"  Structuring of multiple cash deposits below AUD10,000 to avoid reporting obligations ",NFA,5,0,0,0,5,,1,0,0
Elayne,Dibble,Australia and New Zealand,(569) 8996719,78 Pankratz Way,Valry,Lamprecht,Female,4/10/1993,8 Northwestern Street,,Malaysia,Drivers License,84-022-7116,Indonesia,1/18/2015,10/27/2020,Deposit,International Out,1/25/2017,12/26/2016,8:42 AM,Singapore,Vietnam,968621,Consumer attempts to conduct frequent cash transactions in large amounts when this has not been a normal activity for the consumer in the past. ,  Structuring of gaming chip cash outs to avoid reporting obligations ,NFA,0,2,0,4,0,0,0,0,2
Sharla,Traynor,Australia and New Zealand,(871) 5277939,1536 Maywood Pass,Heida,Casey,Female,3/11/1994,771 Porter Alley,,Indonesia,Drivers License,82-223-1281,Vietnam,1/24/2014,1/13/2016,Deposit,Domestic In,11/06/2017,2/19/2017,1:06 PM,Thailand,Cambodia,988213,Consumer attempts transactions that are suspicious but seems blind to being involved in money laundering activities.,  Use of false identification,More Information,0,1,0,3,0,3,0,0,2
Abraham,Meritt,National Australia Bank,(295) 8800373,53 Weeping Birch Center,Hervey,Littlejohns,Male,4/30/1991,16 Sullivan Plaza,,Vietnam,Drivers License,99-918-7985,Malaysia,9/25/2014,12/18/2021,Deposit,Domestic In,1/31/2018,8/23/2016,4:13 AM,Thailand,Australia,337442,Consumer presents confusing details about the transaction. ,  International funds transfers to a country of interest to authorities ,NFA,0,5,0,0,0,0,1,0,0
Tyler,Kivell,National Australia Bank,(112) 3135026,542 Daystar Crossing,Jae,Pluck,Male,12/24/1965,2 Tony Street,9793,Cambodia,Other ID,06-173-7347,Malaysia,4/05/2013,4/10/2013,Deposit,International In,10/24/2017,9/20/2017,3:54 PM,Singapore,Cambodia,235612,Consumer admits or makes statements about involvement in criminal activities.,  Large cash withdrawals within a short time frame ,NFA,0,0,0,2,2,0,0,0,0
Rodina,Kerfut,National Australia Bank,(712) 3377854,51 Judy Pass,Lea,Agerskow,Female,3/03/1969,23075 Almo Drive,7005,Vietnam,Drivers License,68-807-8881,Australia,9/25/2015,9/16/2015,Deposit,Domestic Out,8/29/2017,2/14/2017,5:11 PM,Vietnam,Cambodia,634090,Consumer insists that a transaction be done quickly.,"  Multiple customers linked by common addresses, conducting international funds transfers to the same overseas beneficiary ",NFA,0,3,0,0,0,5,0,0,5
Cyndi,Creaney,Commonwealth Bank,(138) 4236559,74 Westport Junction,Lila,Hancke,Female,12/19/1981,47573 Eliot Center,,Indonesia,Other ID,58-043-6066,Indonesia,3/14/2016,6/27/2019,Deposit,International Out,4/07/2017,1/07/2017,12:57 PM,Indonesia,Vietnam,754534,Consumer attempts transactions that are suspicious but seems blind to being involved in money laundering activities.,"  Multiple international funds transfers below AUD10,000",NFA,1,3,0,,0,0,0,0,0
Antoinette,Juste,Australia and New Zealand,(136) 6058816,38367 Carey Circle,Laina,Di Napoli,Female,8/25/1961,752 Maple Plaza,,Cambodia,Other ID,32-085-2071,Australia,7/29/2016,6/19/2016,Withdrawl,,6/21/2017,2/26/2018,7:51 PM,Malaysia,Thailand,8688,Consumer uses aliases and a variety of similar but different addresses. ,  Conflicting or incomplete identification details provided for different transactions ,NFA,0,0,0,0,2,0,0,0,0
Walsh,Runnicles,Westpac Bank,(585) 5586946,09 Forest Run Place,Tyrone,Balogun,Male,8/22/1994,49 Dryden Street,2705-537,Malaysia,Drivers License,05-667-6495,Australia,5/21/2013,12/15/2015,Withdrawl,International In,6/13/2017,4/21/2016,10:35 PM,Cambodia,Thailand,1623,"Consumer offers you money, gratuities or unusual favors for the provision of services that may appear unusual or suspicious.",  Customer becomes irate when questioned over financial transactions ,More Information,0,0,0,0,0,0,,,
Carilyn,Birds,Commonwealth Bank,(678) 1307960,0628 Chinook Plaza,Desiree,Jewks,Female,3/05/1988,8884 Spohn Hill,,Vietnam,Other ID,82-877-2187,Malaysia,5/24/2017,4/20/2014,Deposit,International In,1/27/2017,1/20/2018,9:36 AM,Malaysia,Thailand,507621,Consumer provides doubtful or vague information. ,  Customer undertaking transactions that appear to be inconsistent with their customer profile and transactional history ,NFA,0,0,0,0,,0,0,0,0
Martainn,Sails,National Australia Bank,(331) 8151299,77 Stoughton Street,Kevon,Applebee,Male,3/24/1998,19914 Corry Plaza,257 22,Malaysia,Passport,76-408-0667,Philippines,1/18/2014,8/16/2017,Withdrawl,Domestic Out,2/05/2018,8/09/2016,4:57 AM,Thailand,Vietnam,22103,Consumer admits or makes statements about involvement in criminal activities.,  International funds transfer from an individual account to several offshore accounts held in the names of third parties ,Investigating,0,0,0,0,2,2,0,0,0
Leslie,Bramich,National Australia Bank,(517) 9186717,7943 Randy Point,Barton,Allain,Male,11/16/1961,5524 Moulton Place,,Malaysia,Other ID,75-587-0455,Singapore,1/11/2016,11/23/2016,Withdrawl,International In,4/01/2017,5/05/2017,8:29 AM,Vietnam,Thailand,171428,Consumer over justifies or explains the transaction. ,  International funds transfer to high-risk jurisdictions ,NFA,0,0,0,0,0,,0,0,0
Jon,De Launde,Australia and New Zealand,,,Eziechiele,Ricks,Male,8/04/1960,7 Emmet Junction,88300,Singapore,Drivers License,68-881-6318,Vietnam,6/20/2016,7/27/2014,Deposit,Domestic Out,7/30/2017,12/16/2016,,Philippines,Singapore,11969,Transaction seems to be inconsistent with the consumer’s apparent financial standing or usual pattern of activities. ,  Large cash withdrawals from multiple bank branches on the same day ,NFA,0,2,0,0,,0,0,0,2
Dari,Judkins,Australia and New Zealand,(268) 1853509,68 Sauthoff Court,Aeriel,Wheelwright,Female,12/02/1977,95 Golden Leaf Center,606168,Cambodia,Passport,62-136-5454,Singapore,12/16/2015,4/13/2013,Deposit,Domestic Out,10/25/2016,5/23/2017,7:23 AM,Malaysia,Australia,316506,Consumer attempts to develop close rapport with staff. ,  Structured international funds transfers within a short period of time ,NFA,0,0,0,0,5,0,0,0,0
Jillayne,Hendrick,National Australia Bank,(191) 9181224,2350 Lakeland Hill,Carmelita,Lifton,Female,8/04/1981,920 Loomis Street,688 01,Singapore,Passport,70-889-5939,Singapore,1/03/2015,6/03/2020,Deposit,Domestic Out,5/06/2016,2/04/2017,6:40 AM,Malaysia,Philippines,142383,Consumer uses aliases and a variety of similar but different addresses. ,  Use of overseas bank accounts,NFA,0,3,0,0,0,1,0,0,0
Bruis,Marde,Australia and New Zealand,(403) 9675753,2 Roth Pass,Natty,Wike,Male,2/15/1975,98 Westend Circle,,Malaysia,Drivers License,80-495-8259,Thailand,11/18/2016,6/07/2014,Withdrawl,International In,2/07/2018,9/22/2016,5:40 AM,Cambodia,Australia,948483,"Consumer produces seemingly false identification or identification that appears to be counterfeited, altered or inaccurate. ",  Account activity inconsistent with customer/business profile ,NFA,0,0,0,,0,,0,3,0
Erin,Calendar,Australia and New Zealand,(505) 4948993,6 Memorial Crossing,Heath,Caddie,Male,9/11/1971,6240 Cody Road,,Cambodia,Other ID,18-944-0563,Malaysia,2/17/2015,9/09/2014,Deposit,Domestic Out,5/11/2017,5/27/2016,7:48 AM,Singapore,Indonesia,732106,Consumer uses aliases and a variety of similar but different addresses. ,  High-value cash deposits at multiple bank branches over a short period of time ,NFA,0,0,0,0,0,0,0,0,0
Francklyn,Kisting,Australia and New Zealand,(183) 7596798,22 Ilene Lane,Pierson,Coonan,Male,5/21/1977,56912 Banding Road,,Indonesia,Other ID,91-796-4506,Indonesia,2/01/2017,4/13/2016,Deposit,International In,6/06/2016,1/07/2017,2:41 AM,Philippines,Cambodia,79621,"Consumer is nervous, not in keeping with the transaction. ",  High-value or structured casino chip cash buy-ins ,NFA,0,0,0,,0,0,0,0,0
Jaclin,Gregor,Commonwealth Bank,(233) 4067915,13547 Crescent Oaks Circle,Idaline,Licquorish,Female,6/14/1970,189 Arrowood Court,16150,Thailand,Drivers License,31-658-6994,Vietnam,3/20/2016,2/18/2016,Deposit,Domestic Out,6/27/2016,5/22/2017,11:37 AM,Indonesia,Malaysia,592310,Consumer has unusual knowledge of the law in relation to suspicious transaction reporting. ,  High-value transfers to accounts held in the name of a casino and gaming venue ,NFA,0,0,2,4,3,0,0,1,4
Therine,O'Brogan,Australia and New Zealand,(124) 3638820,755 Morrow Court,Brande,Featherstonhaugh,Female,1/10/1990,930 Mallory Pass,147 42,Indonesia,Passport,63-126-8337,Philippines,11/09/2014,6/22/2020,Deposit,Domestic In,7/28/2017,6/21/2017,2:49 AM,Thailand,Cambodia,332955,"Consumer produces seemingly false identification or identification that appears to be counterfeited, altered or inaccurate. ",  High-volume and high-value incoming international funds transfers to Australia for no apparent logical reason ,NFA,0,3,0,5,0,0,0,0,0
Harri,Gurnett,Australia and New Zealand,(761) 5755404,1 Waubesa Lane,Ddene,Huyge,Female,6/22/1990,43 Sachtjen Center,,Singapore,Other ID,76-291-5846,Malaysia,12/23/2017,9/15/2019,Deposit,Domestic Out,5/18/2017,1/12/2017,7:11 PM,Australia,Malaysia,49296,Consumer seems very conversant with money laundering or terrorist activity financing issues. ,  High-volume and/or high-value cash withdrawals at multiple bank branches and ATMs ,NFA,0,0,0,0,0,2,0,0,0
Andre,Gong,National Australia Bank,(621) 4310886,04137 Crest Line Drive,Ewell,Cosgrove,Male,9/09/1968,77 Veith Alley,301635,Australia,Passport,47-239-4628,Cambodia,8/26/2015,5/05/2020,Withdrawl,International In,8/12/2016,12/11/2017,3:15 PM,Cambodia,Cambodia,161923,Consumer admits or makes statements about involvement in criminal activities.,  Incoming international funds transfers from a high-risk jurisdiction ,NFA,0,2,0,0,0,0,0,5,0
Tore,Newbery,National Australia Bank,(591) 2816336,2 Hallows Plaza,Nolan,Wraith,Male,5/30/1990,5018 Talmadge Center,,Indonesia,Other ID,96-704-1198,Australia,9/27/2013,2/27/2019,Withdrawl,International In,1/03/2017,6/05/2017,9:23 PM,Australia,Thailand,311101,Transaction involves non-profit or charitable organization for which there appears to be no logical economic purpose or where there appears to be no link between the stated activity of the organization and the other parties in the transaction. ,  Large amount of cash used to place bets at a casino over a short period of time ,NFA,0,0,0,4,5,0,0,2,0
Sebastien,Seckom,Australia and New Zealand,(831) 3698803,34 Stang Circle,Kliment,Kipling,Male,8/09/1976,277 Warner Trail,N37,Cambodia,Passport,45-118-4474,Philippines,4/21/2013,6/27/2020,Deposit,Domestic In,9/19/2017,4/12/2017,6:52 AM,Singapore,Cambodia,594274,Transaction seems to be inconsistent with the consumer’s apparent financial standing or usual pattern of activities. ,"  Multiple cash withdrawals below the AUD10,000 reporting threshold (that is, structured cash deposits)",NFA,0,2,0,2,0,0,,,
Carny,Cestard,National Australia Bank,(414) 2886321,2758 Vera Lane,Vinnie,Bowser,Male,10/10/1984,1200 Dryden Point,,Australia,Drivers License,64-065-3660,Vietnam,5/11/2016,12/23/2016,Deposit,International Out,1/13/2018,1/10/2017,1:25 PM,Thailand,Philippines,744712,"Consumer offers you money, gratuities or unusual favors for the provision of services that may appear unusual or suspicious.",  Multiple same-day cash withdrawals conducted at ATMs and the same bank branch ,NFA,5,0,0,2,0,0,0,1,0
