Contact_FirstName,Contact_LastName,Contact_EntityName,Contact_EntityPhone,Contact_EntityAddress,Customer_FirstName,Customer_LastName,Customer_Gender,Customer_DateOfBirth,Customer_Address,Customer_PostalCode,Customer_CountryOfCitizenship,Customer_IDType,Customer_IDNumber,Customer_IssuingCountry,Customer_IssueDate,Customer_ExpiryDate,Trans_Withdrawl_Deposit,Trans_Type,Contact_ReferralDate,Trans_TransactionDate,Trans_Time,Trans_OriginatingCountry,Trans_DestinationCountry,Trans_Amount,Trans_IdentificationOfSuspiciousIndicator,Trans_Notes,SMR_ReviewOutcome,Att_XLS,Att_TIF,Att_PDF,Att_WMV,Att_JPG,Att_MPG,Att_MP4,Att_FLV,Att_GIF
Granger,Bonsale,National Australia Bank,(138) 1706866,81 Arapahoe Point,Nollie,Frail,Male,8/09/1965,5 Division Trail,92130,Malaysia,Drivers License,95-726-3896,Singapore,3/07/2015,2/19/2018,Withdrawl,Domestic In,6/18/2016,11/14/2017,1:00 PM,Indonesia,Thailand,743337,Transaction is unnecessarily complex for its stated purpose. ,"""At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae. Itaque earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat.""",NFA,5,0,0,0,5,,1,0,0
Sharla,Traynor,Australia and New Zealand,(871) 5277939,1536 Maywood Pass,Heida,Casey,Female,3/11/1994,771 Porter Alley,,Indonesia,Drivers License,82-223-1281,Vietnam,1/24/2014,1/13/2016,Deposit,Domestic In,11/06/2017,2/19/2017,1:06 PM,Thailand,Cambodia,988213,Consumer attempts transactions that are suspicious but seems blind to being involved in money laundering activities.,Not having a great day,More Information,0,1,0,3,0,3,0,0,2
Cyndi,Creaney,Commonwealth Bank,(138) 4236559,74 Westport Junction,Lila,Hancke,Female,12/19/1981,47573 Eliot Center,,Indonesia,Other ID,58-043-6066,Indonesia,3/14/2016,6/27/2019,Deposit,International Out,4/07/2017,1/07/2017,12:57 PM,Indonesia,Vietnam,754534,Consumer attempts transactions that are suspicious but seems blind to being involved in money laundering activities.,"""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.""",NFA,1,3,0,,0,0,0,0,0
Martainn,Sails,National Australia Bank,(331) 8151299,77 Stoughton Street,Kevon,Applebee,Male,3/24/1998,19914 Corry Plaza,257 22,Malaysia,Passport,76-408-0667,Philippines,1/18/2014,8/16/2017,Withdrawl,Domestic Out,2/05/2018,8/09/2016,4:57 AM,Thailand,Vietnam,22103,Consumer admits or makes statements about involvement in criminal activities.,Some guy looks dodgy,Investigating,0,0,0,0,2,2,0,0,0
Jon,De Launde,Australia and New Zealand,,,Eziechiele,Ricks,Male,8/04/1960,7 Emmet Junction,88300,Singapore,Drivers License,68-881-6318,Vietnam,6/20/2016,7/27/2014,Deposit,Domestic Out,7/30/2017,12/16/2016,,Philippines,Singapore,11969,Transaction seems to be inconsistent with the consumer’s apparent financial standing or usual pattern of activities. ,Spaced out a few times,NFA,0,2,0,0,,0,0,0,2
Francklyn,Kisting,Australia and New Zealand,(183) 7596798,22 Ilene Lane,Pierson,Coonan,Male,5/21/1977,56912 Banding Road,,Indonesia,Other ID,91-796-4506,Indonesia,2/01/2017,4/13/2016,Deposit,International In,6/06/2016,1/07/2017,2:41 AM,Philippines,Cambodia,79621,"Consumer is nervous, not in keeping with the transaction. ",Why do we need to report suspicious items?,NFA,0,0,0,,0,0,0,0,0
Ruthi,MacAnespie,National Australia Bank,(171) 4960064,7 3rd Circle,Greta,Cowlam,Female,6/30/1978,43874 Michigan Drive,,Malaysia,Other ID,87-192-3958,Vietnam,9/19/2016,6/12/2019,Withdrawl,Domestic Out,10/27/2016,12/19/2017,4:20 AM,Malaysia,Malaysia,953732,Consumer attempts to convince employee not to complete any documentation required for the transaction,I want to stop complaining,NFA,0,0,0,,0,0,0,0,0
Jayme,Bolden,Westpac Bank,(923) 4543023,58066 Northwestern Terrace,Frannie,Waleran,Female,6/16/1992,1318 Arkansas Hill,,Indonesia,Passport,99-141-3072,Singapore,12/08/2017,8/03/2021,Withdrawl,International Out,11/05/2016,10/14/2016,8:53 PM,Philippines,Malaysia,728776,Consumer makes inquiries that would indicate a desire to avoid reporting. ,"""Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur?""",NFA,0,0,0,3,0,0,0,4,0
Tuck,Stronack,National Australia Bank,(344) 4946403,67051 Parkside Point,Nathanial,Attenbrow,Male,8/18/1995,11 Green Ridge Lane,,Indonesia,Other ID,09-207-0769,Cambodia,9/11/2016,11/12/2013,Withdrawl,,1/31/2018,7/24/2017,5:20 PM,Malaysia,Indonesia,281934,Consumer is involved in activity out-of-keeping for that individual or business. ,Poor me another class,NFA,0,0,0,,,0,0,2,3
Hallsy,McGrorty,Australia and New Zealand,(498) 5223545,78 Knutson Terrace,Gherardo,Jahnel,Male,7/15/1985,96157 Mayfield Parkway,98124,Malaysia,Drivers License,96-910-2947,Australia,5/12/2014,7/15/2017,Withdrawl,International In,6/05/2017,9/14/2016,2:34 PM,Thailand,Malaysia,207229,Consumer attempts to conduct frequent cash transactions in large amounts when this has not been a normal activity for the consumer in the past. ,"""On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish. In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.""",NFA,0,0,5,0,3,0,5,0,0
